ID,AGE,JOB,MARITAL,EDUCATION,DEFAULT,BALANCE,HOUSING,LOAN,CONTACT,DAY,MONTH,DURATION,CAMPAIGN,PDAYS,PREVIOUS,POUTCOME,TARGET
cl/20385,58,retired,married,secondary,no,11,no,no,cellular,11,aug,270,1,-1,0,,no
cl/12745,43,technician,divorced,tertiary,no,27,no,no,cellular,7,jul,412,4,-1,0,,no
cl/13085,36,management,married,tertiary,no,128,no,no,cellular,8,jul,733,1,-1,0,,no
cl/40193,50,technician,single,secondary,no,1811,no,no,cellular,8,jun,97,4,-1,0,,no
cl/5702,35,blue-collar,married,primary,no,-239,yes,no,,26,may,281,1,-1,0,,no
cl/2008,56,services,divorced,tertiary,no,2272,yes,no,,9,may,263,5,-1,0,,no
cl/3067,45,services,divorced,secondary,no,864,yes,no,,14,may,183,2,-1,0,,no
cl/21135,48,services,married,secondary,no,300,no,no,cellular,14,aug,350,4,-1,0,,no
cl/21720,43,management,divorced,tertiary,no,3820,no,no,cellular,19,aug,86,5,-1,0,,no
cl/674,31,management,single,tertiary,no,-173,yes,no,,6,may,396,2,-1,0,,no
cl/11442,37,admin.,single,secondary,no,124,yes,no,,19,jun,635,3,-1,0,,no
cl/43854,32,management,married,tertiary,no,1402,no,no,,1,jun,52,1,557,2,failure,no
cl/7797,49,self-employed,married,secondary,no,2061,yes,yes,,30,may,137,3,-1,0,,no
cl/34808,30,admin.,married,secondary,no,-150,yes,no,cellular,6,may,174,1,365,1,failure,no
cl/32890,28,management,married,tertiary,no,258,no,yes,cellular,17,apr,93,1,-1,0,,no
cl/7380,38,technician,married,secondary,no,381,yes,no,,29,may,126,2,-1,0,,no
cl/7099,45,management,single,tertiary,no,2571,yes,no,,29,may,54,1,-1,0,,no
cl/26428,31,technician,married,secondary,no,54,no,no,cellular,20,nov,775,1,-1,0,,no
cl/28081,28,management,single,tertiary,no,95,no,no,telephone,28,jan,283,4,-1,0,,no
cl/39279,28,services,married,secondary,no,38,yes,no,cellular,18,may,16,5,355,3,other,no
cl/32678,28,services,single,secondary,no,3028,yes,no,cellular,17,apr,183,1,-1,0,,no
cl/20737,32,technician,single,tertiary,no,34646,no,no,telephone,13,aug,618,9,-1,0,,yes
cl/20438,57,blue-collar,married,primary,no,2112,no,no,cellular,12,aug,1134,2,-1,0,,yes
cl/37003,41,admin.,single,secondary,no,334,yes,no,cellular,13,may,14,4,331,22,other,no
cl/12919,54,housemaid,married,secondary,no,0,no,yes,cellular,7,jul,97,1,-1,0,,no
cl/19653,58,retired,married,secondary,no,225,no,no,cellular,7,aug,122,6,-1,0,,no
cl/40576,49,management,married,tertiary,no,5613,no,no,cellular,20,jul,258,3,-1,0,,no
cl/20900,34,technician,single,tertiary,no,2195,no,no,telephone,13,aug,490,3,-1,0,,no
cl/27715,23,unemployed,single,primary,no,1003,no,no,telephone,27,nov,8,1,-1,0,,yes
cl/8688,49,blue-collar,married,primary,no,387,yes,yes,,3,jun,67,5,-1,0,,no
cl/5540,33,management,married,secondary,no,67,yes,yes,,23,may,316,4,-1,0,,no
cl/23904,31,management,married,tertiary,no,315,no,no,cellular,29,aug,109,4,-1,0,,no
cl/22288,47,self-employed,married,secondary,no,3279,no,no,cellular,21,aug,189,4,-1,0,,no
cl/4905,33,blue-collar,married,primary,no,141,yes,no,,21,may,578,2,-1,0,,no
cl/13877,39,services,married,secondary,no,54,yes,no,cellular,10,jul,466,1,-1,0,,no
cl/31799,67,retired,married,secondary,no,1443,no,no,cellular,8,apr,245,1,-1,0,,yes
cl/39396,34,admin.,married,tertiary,no,10,no,no,cellular,22,may,81,1,-1,0,,no
cl/29635,33,admin.,single,secondary,no,289,no,no,cellular,3,feb,515,3,6,13,other,no
cl/9565,54,housemaid,single,unknown,no,6020,no,no,,6,jun,24,1,-1,0,,no
cl/26612,37,unemployed,married,secondary,no,2424,no,no,cellular,20,nov,633,2,156,2,other,no
cl/35279,33,entrepreneur,married,tertiary,no,2179,yes,yes,cellular,7,may,217,1,167,2,other,no
cl/11829,52,blue-collar,married,secondary,no,1500,no,yes,,20,jun,109,3,-1,0,,no
cl/33619,51,management,married,secondary,no,563,yes,no,cellular,20,apr,23,6,-1,0,,no
cl/16753,32,admin.,married,secondary,no,0,yes,no,cellular,24,jul,151,2,-1,0,,no
cl/2028,43,blue-collar,married,primary,no,757,yes,no,,9,may,315,4,-1,0,,no
cl/35063,30,services,single,secondary,no,346,yes,no,cellular,6,may,87,3,345,5,other,no
cl/9377,51,management,married,tertiary,no,9796,no,yes,,6,jun,110,1,-1,0,,no
cl/10228,35,technician,single,tertiary,no,18,yes,yes,,11,jun,111,10,-1,0,,no
cl/14495,38,admin.,married,secondary,no,-295,no,no,cellular,14,jul,356,3,-1,0,,no
cl/42684,55,management,married,tertiary,no,7803,no,no,cellular,15,jan,441,1,-1,0,,yes
cl/32956,49,blue-collar,married,secondary,no,1127,yes,yes,cellular,17,apr,162,2,281,1,failure,no
cl/38141,28,blue-collar,married,secondary,no,8,yes,no,cellular,15,may,196,1,-1,0,,no
cl/21515,32,technician,married,tertiary,no,264,yes,no,cellular,19,aug,103,7,-1,0,,no
cl/34999,48,services,married,secondary,no,2597,yes,no,cellular,6,may,182,2,355,1,failure,no
cl/9937,57,housemaid,married,primary,no,3570,no,no,,9,jun,233,2,-1,0,,no
cl/44500,36,student,single,unknown,no,417,no,no,cellular,10,aug,304,1,181,1,success,yes
cl/24753,44,management,married,tertiary,no,756,yes,no,cellular,18,nov,65,1,130,2,failure,no
cl/43819,60,unemployed,married,secondary,no,1047,no,no,cellular,27,may,173,3,279,4,success,yes
cl/33026,26,admin.,single,secondary,no,1375,yes,no,cellular,17,apr,238,2,-1,0,,no
cl/11058,51,self-employed,married,primary,no,307,yes,yes,,17,jun,65,2,-1,0,,no
cl/21958,48,services,married,secondary,no,109,no,yes,cellular,20,aug,113,4,-1,0,,no
cl/29602,46,,married,unknown,no,677,no,no,cellular,3,feb,425,1,82,1,failure,no
cl/2324,32,admin.,single,tertiary,no,594,yes,no,,13,may,134,2,-1,0,,no
cl/43720,57,retired,married,primary,no,9367,no,no,cellular,14,may,700,4,92,7,success,yes
cl/3439,41,services,married,secondary,no,714,yes,yes,,15,may,504,5,-1,0,,no
cl/44587,30,admin.,single,secondary,no,28,no,no,,20,aug,107,1,-1,0,,no
cl/35190,37,services,married,secondary,no,343,yes,yes,cellular,7,may,104,1,304,7,failure,no
cl/6916,28,technician,single,secondary,no,1417,yes,no,,28,may,491,1,-1,0,,no
cl/15790,52,admin.,married,secondary,no,799,no,no,cellular,21,jul,128,2,-1,0,,no
cl/44238,29,admin.,single,secondary,no,854,no,no,cellular,20,jul,175,5,95,1,other,no
cl/7081,40,admin.,married,unknown,no,3557,yes,no,,29,may,332,1,-1,0,,no
cl/9532,45,services,married,secondary,no,191,no,yes,,6,jun,136,2,-1,0,,no
cl/1448,29,management,divorced,tertiary,no,607,yes,yes,,8,may,240,3,-1,0,,no
cl/37134,33,technician,single,tertiary,no,2565,yes,no,cellular,13,may,128,2,-1,0,,no
cl/38341,24,blue-collar,single,secondary,no,3,yes,no,cellular,15,may,311,1,-1,0,,no
cl/25810,31,technician,married,secondary,no,793,no,no,cellular,19,nov,755,1,-1,0,,no
cl/19652,46,admin.,married,secondary,no,22,yes,no,cellular,7,aug,414,4,-1,0,,no
cl/35944,39,services,married,secondary,no,-762,yes,yes,cellular,8,may,40,6,343,2,failure,no
cl/24959,47,admin.,married,secondary,no,829,yes,yes,cellular,18,nov,48,1,188,1,failure,no
cl/37527,32,blue-collar,married,secondary,no,-446,no,no,cellular,13,may,126,2,344,1,failure,no
cl/6982,31,blue-collar,married,secondary,no,1117,yes,no,,28,may,340,3,-1,0,,no
cl/42101,38,technician,married,tertiary,no,732,no,no,cellular,2,nov,53,2,161,1,failure,no
cl/38330,39,management,married,primary,no,197,yes,no,cellular,15,may,193,1,-1,0,,no
cl/21700,46,management,married,tertiary,no,0,no,no,cellular,19,aug,328,1,-1,0,,no
cl/33708,58,admin.,married,secondary,no,310,yes,yes,cellular,21,apr,75,1,-1,0,,no
cl/22302,53,blue-collar,married,primary,no,0,no,no,cellular,21,aug,195,1,-1,0,,no
cl/19039,46,technician,divorced,secondary,no,648,no,no,cellular,5,aug,281,1,-1,0,,no
cl/15234,53,admin.,single,primary,no,0,yes,no,cellular,17,jul,155,6,-1,0,,no
cl/12225,39,technician,married,tertiary,no,-218,no,no,,20,jun,8,13,-1,0,,no
cl/12788,53,blue-collar,married,primary,no,0,no,no,cellular,7,jul,114,1,-1,0,,no
cl/24978,57,retired,single,tertiary,no,0,no,no,cellular,18,nov,300,1,-1,0,,no
cl/31262,36,admin.,married,secondary,no,2061,yes,yes,cellular,5,mar,53,3,-1,0,,no
cl/27082,32,management,single,tertiary,no,3050,yes,no,cellular,21,nov,58,1,182,1,failure,no
cl/25376,31,blue-collar,married,secondary,no,604,yes,no,cellular,18,nov,394,2,-1,0,,no
cl/12212,40,admin.,married,secondary,no,67,no,yes,,20,jun,70,5,-1,0,,no
cl/31139,30,technician,single,tertiary,no,985,yes,no,cellular,19,feb,88,2,-1,0,,no
cl/15987,32,technician,married,tertiary,no,0,yes,no,cellular,22,jul,520,1,-1,0,,no
cl/25283,42,management,single,tertiary,no,1673,no,no,cellular,18,nov,43,2,-1,0,,no
cl/37032,51,services,single,secondary,no,516,yes,no,cellular,13,may,370,1,363,1,failure,no
cl/38298,34,blue-collar,married,secondary,no,362,yes,no,cellular,15,may,151,1,-1,0,,no
cl/33392,37,services,married,secondary,no,1498,yes,no,cellular,20,apr,107,1,-1,0,,no
cl/39539,55,management,married,tertiary,no,42,no,no,cellular,26,may,318,1,-1,0,,no
cl/5398,33,services,divorced,secondary,yes,339,yes,no,,23,may,496,4,-1,0,,no
cl/4978,32,blue-collar,single,secondary,no,435,yes,no,,21,may,373,2,-1,0,,no
cl/28899,30,technician,single,secondary,no,316,yes,yes,cellular,30,jan,130,2,2,2,other,no
cl/12868,55,blue-collar,single,secondary,no,82,no,yes,cellular,7,jul,500,1,-1,0,,no
cl/13984,52,unemployed,married,primary,no,255,no,yes,cellular,10,jul,374,3,-1,0,,no
cl/13948,30,technician,married,tertiary,no,1338,yes,yes,cellular,10,jul,81,6,-1,0,,no
cl/9412,46,technician,married,tertiary,no,0,no,no,,6,jun,159,1,-1,0,,no
cl/36155,51,blue-collar,married,secondary,no,3370,yes,no,cellular,11,may,59,1,-1,0,,no
cl/36589,43,admin.,divorced,secondary,no,1076,yes,no,cellular,12,may,223,1,363,1,failure,no
cl/32136,47,unemployed,divorced,secondary,yes,342,yes,no,cellular,15,apr,177,1,-1,0,,no
cl/43218,60,admin.,married,secondary,no,12980,no,no,cellular,5,mar,115,1,-1,0,,yes
cl/34004,32,technician,single,tertiary,no,696,no,yes,cellular,30,apr,270,2,293,2,failure,no
cl/40380,66,management,married,tertiary,no,1048,yes,no,cellular,23,jun,971,2,-1,0,,no
cl/43111,40,management,single,tertiary,no,0,yes,no,cellular,23,feb,228,2,182,6,failure,yes
cl/42561,47,technician,married,secondary,no,3519,no,yes,cellular,28,dec,193,1,220,1,failure,no
cl/19770,52,blue-collar,married,secondary,no,409,no,no,cellular,8,aug,137,2,-1,0,,no
cl/1707,49,self-employed,married,tertiary,no,1842,yes,no,,9,may,124,2,-1,0,,no
cl/33374,43,blue-collar,married,secondary,no,314,yes,yes,cellular,20,apr,247,3,339,2,failure,no
cl/41843,83,retired,divorced,primary,no,2619,no,no,telephone,16,oct,181,2,-1,0,,no
cl/4357,53,admin.,married,tertiary,yes,6,no,no,,19,may,105,11,-1,0,,no
cl/11993,52,blue-collar,single,primary,no,3421,no,no,,20,jun,212,8,-1,0,,no
cl/33001,35,blue-collar,married,primary,no,373,no,no,cellular,17,apr,335,2,-1,0,,no
cl/2567,45,admin.,married,secondary,no,985,yes,no,,13,may,390,1,-1,0,,no
cl/18268,34,management,married,tertiary,no,82,no,no,cellular,31,jul,134,5,-1,0,,no
cl/43371,36,admin.,married,tertiary,no,1145,yes,no,cellular,29,mar,198,2,181,3,failure,no
cl/22792,39,entrepreneur,married,tertiary,no,0,no,no,cellular,25,aug,422,10,-1,0,,no
cl/44264,42,technician,single,secondary,no,631,no,no,telephone,22,jul,171,2,413,3,failure,no
cl/26251,36,self-employed,single,secondary,no,1295,no,no,cellular,20,nov,1192,1,-1,0,,yes
cl/42439,51,admin.,married,secondary,no,241,no,no,cellular,7,dec,308,2,-1,0,,yes
cl/17905,42,technician,single,secondary,no,746,no,no,cellular,30,jul,86,2,-1,0,,no
cl/16159,34,blue-collar,married,primary,no,0,yes,no,cellular,22,jul,149,2,-1,0,,no
cl/6074,36,blue-collar,married,secondary,no,-870,yes,no,,26,may,102,2,-1,0,,no
cl/32903,30,technician,married,secondary,no,-280,yes,no,cellular,17,apr,609,2,266,2,failure,no
cl/3000,41,services,married,primary,no,455,yes,no,,14,may,80,1,-1,0,,no
cl/35227,36,management,married,secondary,no,396,yes,no,cellular,7,may,327,4,-1,0,,no
cl/17435,59,blue-collar,married,secondary,no,149,no,yes,telephone,28,jul,313,16,-1,0,,no
cl/32475,44,self-employed,single,secondary,no,125,yes,no,telephone,17,apr,109,3,-1,0,,no
cl/13209,29,self-employed,single,tertiary,no,0,yes,no,cellular,8,jul,231,1,-1,0,,no
cl/7964,39,blue-collar,married,secondary,no,280,yes,no,,2,jun,147,3,-1,0,,no
cl/38778,37,blue-collar,single,tertiary,no,481,no,no,cellular,18,may,11,8,-1,0,,no
cl/45026,45,management,married,secondary,no,2897,no,no,cellular,15,oct,531,4,105,7,failure,no
cl/44468,45,admin.,married,secondary,no,476,no,no,cellular,6,aug,356,1,364,1,other,yes
cl/15689,44,management,divorced,tertiary,no,2422,yes,no,cellular,21,jul,141,2,-1,0,,no
cl/25470,38,entrepreneur,married,tertiary,no,83,yes,no,cellular,19,nov,108,1,-1,0,,no
cl/40236,49,technician,divorced,tertiary,no,0,yes,no,cellular,12,jun,177,3,-1,0,,no
cl/2756,49,admin.,married,secondary,no,512,yes,yes,,14,may,455,3,-1,0,,no
cl/44075,29,technician,single,secondary,no,738,no,no,,5,jul,29,1,-1,0,,no
cl/26128,45,technician,single,secondary,no,792,no,no,cellular,19,nov,111,5,-1,0,,no
cl/34903,42,management,married,primary,no,-679,yes,yes,cellular,6,may,159,1,343,2,failure,no
cl/21278,49,blue-collar,married,secondary,no,1157,no,no,cellular,18,aug,91,4,-1,0,,no
cl/2656,24,blue-collar,married,primary,no,-427,yes,no,,13,may,165,3,-1,0,,no
cl/3990,44,blue-collar,married,primary,no,12,yes,no,,16,may,408,10,-1,0,,no
cl/34781,27,management,single,tertiary,no,2559,yes,no,cellular,6,may,227,1,-1,0,,no
cl/16109,34,admin.,single,secondary,no,1,yes,no,cellular,22,jul,483,7,-1,0,,no
cl/296,31,blue-collar,single,secondary,no,3,yes,no,,5,may,200,2,-1,0,,no
cl/25832,51,management,married,tertiary,no,10995,yes,no,cellular,19,nov,220,2,-1,0,,no
cl/25155,32,management,married,tertiary,no,1636,yes,no,cellular,18,nov,124,1,-1,0,,no
cl/25964,50,admin.,married,secondary,no,167,no,yes,cellular,19,nov,47,1,133,1,failure,no
cl/40890,37,admin.,single,tertiary,no,3954,yes,no,cellular,12,aug,87,1,117,2,failure,no
cl/23571,38,student,married,secondary,no,140,no,no,cellular,28,aug,12,21,-1,0,,no
cl/21433,30,technician,single,tertiary,no,2832,no,no,cellular,18,aug,350,6,-1,0,,no
cl/14525,52,technician,married,unknown,no,370,yes,no,cellular,15,jul,101,2,-1,0,,no
cl/25799,43,blue-collar,married,primary,no,25,yes,no,cellular,19,nov,70,1,-1,0,,no
cl/20401,40,technician,married,secondary,no,1716,yes,no,cellular,12,aug,226,8,-1,0,,no
cl/13338,29,technician,single,tertiary,no,313,no,yes,cellular,8,jul,227,2,-1,0,,no
cl/37021,28,admin.,married,secondary,no,-97,yes,no,cellular,13,may,129,1,-1,0,,no
cl/35452,53,admin.,divorced,secondary,no,26,yes,no,cellular,7,may,56,1,359,1,failure,no
cl/35582,43,blue-collar,married,primary,no,823,yes,no,telephone,7,may,174,12,-1,0,,no
cl/37299,33,services,married,secondary,no,162,yes,no,cellular,13,may,135,1,364,2,failure,no
cl/20472,30,management,single,secondary,no,1913,no,no,cellular,12,aug,250,2,-1,0,,no
cl/39693,51,housemaid,married,secondary,no,2239,no,no,cellular,27,may,1576,1,-1,0,,no
cl/23632,34,technician,single,secondary,no,0,no,no,cellular,28,aug,195,6,-1,0,,no
cl/16654,45,blue-collar,married,primary,no,1670,no,yes,cellular,24,jul,171,1,-1,0,,no
cl/1199,43,blue-collar,married,secondary,yes,-7,no,no,,8,may,70,1,-1,0,,no
cl/37212,36,blue-collar,married,primary,no,1993,yes,yes,cellular,13,may,174,1,359,2,other,no
cl/1949,30,admin.,single,tertiary,no,-396,yes,no,,9,may,89,2,-1,0,,no
cl/23761,35,technician,single,tertiary,no,576,no,no,cellular,28,aug,8,13,-1,0,,no
cl/24803,32,admin.,single,tertiary,no,170,no,no,cellular,18,nov,74,1,-1,0,,no
cl/25768,49,technician,married,secondary,yes,-74,yes,no,cellular,19,nov,114,1,-1,0,,no
cl/30039,53,entrepreneur,married,secondary,no,230,yes,no,cellular,4,feb,56,2,250,1,other,no
cl/17830,48,management,single,tertiary,no,906,yes,no,telephone,29,jul,289,9,-1,0,,no
cl/9372,48,blue-collar,married,primary,no,72,yes,no,,6,jun,114,5,-1,0,,no
cl/20848,52,unemployed,married,secondary,no,9139,no,no,cellular,13,aug,684,2,-1,0,,no
cl/16093,27,blue-collar,married,primary,no,237,yes,no,cellular,22,jul,283,6,-1,0,,no
cl/13458,52,blue-collar,married,unknown,no,0,yes,no,cellular,9,jul,1486,1,-1,0,,yes
cl/4185,31,admin.,married,secondary,no,97,yes,no,,19,may,607,1,-1,0,,yes
cl/27225,44,blue-collar,married,unknown,no,1149,yes,no,cellular,21,nov,67,5,-1,0,,no
cl/33266,31,blue-collar,married,primary,no,2929,yes,no,cellular,20,apr,237,3,150,3,failure,no
cl/4592,38,blue-collar,married,primary,no,178,yes,no,,20,may,245,1,-1,0,,no
cl/28009,41,admin.,single,secondary,no,219,yes,no,cellular,28,jan,119,1,268,1,other,no
cl/19320,32,management,divorced,secondary,no,-352,no,yes,cellular,6,aug,275,5,-1,0,,no
cl/33274,46,technician,married,secondary,no,329,yes,no,cellular,20,apr,78,1,-1,0,,no
cl/14496,27,blue-collar,divorced,secondary,no,1,yes,no,cellular,14,jul,116,3,-1,0,,no
cl/38113,50,blue-collar,married,primary,no,111,yes,no,telephone,15,may,8,6,366,1,other,no
cl/29112,43,blue-collar,married,primary,no,575,no,no,cellular,2,feb,237,1,-1,0,,no
cl/42255,39,student,single,unknown,no,64,no,no,cellular,12,nov,366,2,98,1,failure,no
cl/36357,50,entrepreneur,married,secondary,no,533,yes,no,cellular,11,may,171,2,-1,0,,no
cl/16949,43,blue-collar,married,secondary,no,57,yes,no,cellular,25,jul,188,5,-1,0,,no
cl/15126,57,management,divorced,tertiary,no,429,yes,no,cellular,17,jul,245,1,-1,0,,no
cl/39800,57,retired,married,tertiary,no,1292,no,no,cellular,1,jun,151,1,69,1,failure,no
cl/41356,49,self-employed,married,tertiary,no,99,yes,yes,cellular,31,aug,83,1,-1,0,,no
cl/37519,41,management,married,tertiary,no,1204,yes,yes,cellular,13,may,310,2,-1,0,,no
cl/34315,49,unemployed,married,secondary,no,207,no,no,telephone,4,may,181,2,-1,0,,no
cl/7539,52,management,married,secondary,no,428,yes,no,,30,may,153,1,-1,0,,no
cl/7000,35,blue-collar,married,primary,no,51,yes,no,,28,may,593,2,-1,0,,no
cl/28995,44,technician,married,secondary,no,-1317,yes,no,cellular,2,feb,371,1,-1,0,,no
cl/33098,35,blue-collar,married,primary,no,1347,yes,yes,cellular,20,apr,360,1,-1,0,,no
cl/1780,35,blue-collar,married,primary,no,198,yes,no,,9,may,471,2,-1,0,,no
cl/30375,45,unemployed,single,secondary,no,33,no,no,cellular,5,feb,437,1,-1,0,,no
cl/39375,24,management,single,tertiary,no,3197,no,no,cellular,22,may,172,1,-1,0,,no
cl/38726,35,management,married,tertiary,yes,-10,yes,no,cellular,15,may,168,2,364,1,other,no
cl/24441,54,unemployed,single,secondary,no,380,no,no,cellular,17,nov,696,2,-1,0,,yes
cl/43790,56,management,married,tertiary,no,12356,yes,no,cellular,26,may,410,1,551,5,other,yes
cl/38452,22,admin.,single,secondary,no,118,yes,no,cellular,15,may,564,3,-1,0,,no
cl/37056,37,services,married,secondary,no,393,yes,yes,cellular,13,may,95,1,357,1,failure,no
cl/33227,33,blue-collar,married,primary,no,2861,yes,no,cellular,20,apr,128,3,-1,0,,no
cl/5934,40,services,married,secondary,no,-626,yes,no,,26,may,147,2,-1,0,,no
cl/40809,60,retired,married,secondary,no,1853,no,no,cellular,11,aug,408,1,-1,0,,yes
cl/7060,29,self-employed,married,secondary,no,542,no,no,,28,may,104,3,-1,0,,no
cl/43765,46,self-employed,married,secondary,no,706,no,no,cellular,21,may,588,1,386,3,failure,yes
cl/19331,48,management,divorced,tertiary,no,174,no,no,cellular,6,aug,290,2,-1,0,,no
cl/35278,30,services,single,secondary,no,-271,yes,no,cellular,7,may,609,1,337,1,success,yes
cl/35897,33,technician,married,tertiary,no,565,yes,no,cellular,8,may,77,2,-1,0,,no
cl/17191,25,management,single,tertiary,no,155,yes,no,telephone,28,jul,193,3,-1,0,,no
cl/41347,34,blue-collar,married,secondary,no,0,yes,no,cellular,31,aug,79,5,110,7,failure,no
cl/28686,29,services,single,secondary,no,-205,no,no,cellular,30,jan,194,1,-1,0,,no
cl/10190,54,admin.,married,secondary,no,1326,yes,no,,11,jun,105,2,-1,0,,no
cl/2294,36,blue-collar,single,secondary,no,90,yes,no,,12,may,13,5,-1,0,,no
cl/12008,39,housemaid,married,unknown,no,9716,no,no,,20,jun,86,2,-1,0,,no
cl/22957,47,technician,divorced,secondary,no,32,no,yes,cellular,26,aug,137,2,-1,0,,no
cl/3798,45,blue-collar,married,secondary,no,-1400,yes,no,,16,may,172,4,-1,0,,no
cl/39241,39,blue-collar,divorced,primary,no,815,yes,no,cellular,18,may,22,3,-1,0,,no
cl/36778,44,admin.,married,secondary,no,1380,yes,no,cellular,12,may,240,1,-1,0,,no
cl/17438,26,management,single,secondary,no,63,no,no,cellular,28,jul,76,4,-1,0,,no
cl/20990,35,technician,single,tertiary,no,755,no,no,cellular,14,aug,125,2,-1,0,,no
cl/6532,31,management,married,tertiary,no,1183,yes,no,,27,may,676,6,-1,0,,no
cl/26468,35,technician,single,secondary,no,-476,yes,no,cellular,20,nov,57,6,177,4,failure,no
cl/1638,27,admin.,single,unknown,no,230,yes,no,,9,may,371,1,-1,0,,no
cl/9307,39,blue-collar,married,primary,no,3127,yes,yes,,5,jun,451,2,-1,0,,no
cl/7897,43,services,married,secondary,no,192,yes,yes,,30,may,273,2,-1,0,,no
cl/41290,84,retired,married,primary,no,1702,no,no,telephone,26,aug,185,1,-1,0,,no
cl/3566,55,admin.,married,secondary,no,1102,yes,no,,15,may,126,2,-1,0,,no
cl/23835,32,management,single,tertiary,no,0,no,no,cellular,29,aug,63,2,-1,0,,no
cl/32998,38,self-employed,married,secondary,no,-17,yes,no,cellular,17,apr,110,3,326,1,other,no
cl/35623,37,services,married,secondary,no,4760,yes,no,cellular,8,may,182,2,169,2,failure,no
cl/44020,60,retired,married,secondary,no,11,no,no,cellular,29,jun,265,1,586,2,failure,yes
cl/42339,42,management,married,tertiary,no,2187,yes,no,cellular,17,nov,525,3,-1,0,,yes
cl/22871,59,management,divorced,tertiary,no,6144,yes,no,cellular,25,aug,56,5,-1,0,,no
cl/14536,33,services,divorced,secondary,no,437,yes,no,cellular,15,jul,184,2,-1,0,,no
